Browser               Monolingual      Bilingual     Bilingual+COCO     Bilingual+COCO+Translated      Bilingual+COCO+Pseudopair
Text-to-Image         76.2             78.8          81.1               82.5                           80.8
Image-to-Text         61.3             66.0          67.3               69.3                           67.2
