Broswer     En      De   	  En+De			En+De+COCO	En+De+c2c	En+De+COCO+c2c
Sum        324.9    281.9     	  616.6      		643.8		612.9		627.2		
Max        348.2    303.9     	  668.8    	 	694.5		684.5		702.9
		
