Browser     Monolingual      Bilingual     Bilingual+COCO     Bilingual+COCO+Translated      Bilingual+COCO+Pseudopair
Text-to-Image         79.9             81.2          83.8               84.1                          83.7
Image-to-Text         69.4             72.2          74.3               75.6                          75.2
